match_id;team;minute;value
14083269;Barcelona;5.0;37
14083269;Barcelona;6.0;8
14083269;Barcelona;7.0;12
14083269;Barcelona;8.0;23
14083269;Barcelona;9.0;40
14083269;Barcelona;10.0;36
14083269;Barcelona;11.0;24
14083269;Mallorca;12.0;-28
14083269;Mallorca;13.0;-37
14083269;Mallorca;14.0;-13
14083269;Barcelona;15.0;33
14083269;Barcelona;16.0;17
14083269;Barcelona;17.0;3
14083269;Mallorca;18.0;-11
14083269;Barcelona;19.0;18
14083269;Barcelona;20.0;12
14083269;Barcelona;21.0;14
14083269;Barcelona;22.0;17
14083269;Barcelona;23.0;2
14083269;Mallorca;24.0;-26
14083269;Mallorca;25.0;-4
14083269;Barcelona;26.0;40
14083269;Barcelona;27.0;16
14083269;Mallorca;28.0;-14
14083269;Barcelona;29.0;25
14083269;Barcelona;30.0;19
14083269;Barcelona;31.0;14
14083269;Barcelona;32.0;14
14083269;Barcelona;33.0;15
14083269;Barcelona;34.0;13
14083269;Barcelona;35.0;33
14083269;Barcelona;36.0;23
14083269;Barcelona;37.0;60
14083269;Barcelona;38.0;39
14083269;Barcelona;39.0;28
14083269;Barcelona;40.0;19
14083269;Barcelona;41.0;17
14083269;Barcelona;42.0;12
14083269;Barcelona;43.0;12
14083269;Barcelona;44.0;13
14083269;Barcelona;45.0;35
14083269;Barcelona;45.5;79
14083269;Barcelona;46.0;3
14083269;Barcelona;47.0;5
14083269;Barcelona;48.0;5
14083269;Barcelona;49.0;7
14083269;Barcelona;50.0;27
14083269;Barcelona;51.0;23
14083269;Barcelona;52.0;21
14083269;Mallorca;53.0;-14
14083269;Barcelona;54.0;24
14083269;Barcelona;55.0;21
14083269;Barcelona;56.0;74
14083269;Barcelona;57.0;78
14083269;Barcelona;58.0;59
14083269;Barcelona;59.0;84
14083269;Barcelona;60.0;86
14083269;Barcelona;61.0;100
14083269;Barcelona;62.0;94
14083269;Barcelona;63.0;60
14083269;Barcelona;64.0;64
14083269;Barcelona;65.0;53
14083269;Barcelona;66.0;31
14083269;Barcelona;67.0;33
14083269;Barcelona;68.0;20
14083269;Barcelona;69.0;46
14083269;Barcelona;70.0;31
14083269;Barcelona;71.0;43
14083269;Barcelona;72.0;29
14083269;Barcelona;73.0;21
14083269;Barcelona;74.0;36
14083269;Barcelona;75.0;56
14083269;Barcelona;76.0;36
14083269;Barcelona;77.0;25
14083269;Barcelona;78.0;31
14083269;Barcelona;79.0;24
14083269;Barcelona;80.0;14
14083269;Mallorca;81.0;-36
14083269;Mallorca;82.0;-27
14083269;Mallorca;83.0;-23
14083269;Barcelona;84.0;31
14083269;Barcelona;85.0;21
14083269;Mallorca;86.0;-26
14083269;Barcelona;87.0;38
14083269;Barcelona;88.0;31
14083269;Barcelona;89.0;36
14083269;Mallorca;90.0;-30
14083269;Mallorca;90.5;-8
14083292;Real Sociedad;1.0;1
14083292;Elche;2.0;-23
14083292;Elche;3.0;-20
14083292;Elche;4.0;-22
14083292;Elche;5.0;-30
14083292;Elche;6.0;-54
14083292;Elche;7.0;-23
14083292;Elche;8.0;-16
14083292;Elche;9.0;-11
14083292;Elche;10.0;-52
14083292;Elche;11.0;-45
14083292;Elche;12.0;-33
14083292;Elche;13.0;-16
14083292;Elche;14.0;-13
14083292;Elche;15.0;-9
14083292;Elche;16.0;-55
14083292;Elche;17.0;-35
14083292;Elche;18.0;-22
14083292;Elche;19.0;-3
14083292;Elche;20.0;-12
14083292;Elche;21.0;-22
14083292;Elche;22.0;-11
14083292;Elche;23.0;-13
14083292;Elche;24.0;-14
14083292;Real Sociedad;25.0;11
14083292;Elche;26.0;-8
14083292;Real Sociedad;27.0;8
14083292;Real Sociedad;28.0;23
14083292;Real Sociedad;29.0;8
14083292;Elche;30.0;-8
14083292;Elche;31.0;-5
14083292;Elche;32.0;-7
14083292;Elche;33.0;-18
14083292;Elche;34.0;-7
14083292;Real Sociedad;35.0;30
14083292;Real Sociedad;36.0;3
14083292;Elche;37.0;-6
14083292;Real Sociedad;38.0;10
14083292;Elche;39.0;-5
14083292;Elche;40.0;-9
14083292;Real Sociedad;41.0;30
